# Файлы для аудита обработки ошибок
# Сгенерировано 8 мая 2026
# Формат: путь | язык | причина включения

## C++ биндинги (nanobind) - catch (...)
termin-render/python/tc_pass_bindings.cpp | cpp | catch (...) без логирования, get/set field
termin-render/python/scene_pipeline_template_bindings.cpp | cpp | catch (...) возвращает nil без лога
termin-render/python/tc_render_target_bindings.cpp | cpp | catch (...) в fallback-паттерне
termin-scene/cpp/bindings/tc_component_ref_bindings.cpp | cpp | catch (...) возвращает none
termin-scene/cpp/bindings/component_registry_python.cpp | cpp | catch (...) + лог ошибки
termin-inspect/python/bindings/inspect_module.cpp | cpp | catch (...) парсинг mask без лога
termin-lighting/cpp/bindings/lighting_bindings.cpp | cpp | catch (...) в fallback-паттерне
termin-collision/cpp/bindings/collision_bindings.cpp | cpp | catch (...) для type check
termin-base/python/bindings/tcbase_module.cpp | cpp | catch (...) в import fallback
termin-base/python/bindings/geom/common.hpp | cpp | catch (...) в py_to_vec3 fallback
termin-display/bindings/platform/platform_module.cpp | cpp | catch (...) optional import
termin-app/cpp/termin/bindings/render/tc_pass_bindings.cpp | cpp | catch (...) silently ignore в set_field
termin-app/cpp/termin/bindings/render/shader_parser.cpp | cpp | catch (...) + лог
termin-app/cpp/termin/bindings/tc_value_helpers.hpp | cpp | catch (...) DEBUG лог + nil
termin-app/cpp/termin/bindings/geom/common.hpp | cpp | catch (...) py_to_vec3 дубликат
termin-app/cpp/termin/bindings/skeleton/skeleton_module.cpp | cpp | catch (...) fallback
termin-app/cpp/termin/geom_bindings.cpp | cpp | catch (...) fallback
termin-modules/src/module_cpp_backend.cpp | cpp | catch (...) в is_stale

## C++ core - catch с логированием
termin-inspect/src/tc_inspect_python.cpp | cpp | catch std::exception, лог в stderr
termin-inspect/include/tc_inspect_cpp.hpp | cpp | catch bad_any_cast + лог
termin-scene/cpp/tc_scene.cpp | cpp | catch std::exception
termin-scene/cpp/bindings/entity_bindings.cpp | cpp | множественные catch
termin-scene/cpp/bindings/tc_component_python_bindings.cpp | cpp | множественные catch
termin-scene/cpp/bindings/tc_scene_bindings.cpp | cpp | catch в setter
termin-render/src/scene_pipeline_template.cpp | cpp | catch std::exception
termin-render/python/render_framework_bindings.cpp | cpp | catch std::exception
termin-render/python/render_pipeline_bindings.cpp | cpp | catch std::exception
termin-mesh/python/bindings/mesh_bindings.cpp | cpp | catch std::exception
termin-base/src/settings.cpp | cpp | catch std::exception
termin-components/termin-components-render/components/render_components_bindings.cpp | cpp | catch std::exception
termin-display/bindings/render/tc_input_manager_bindings.cpp | cpp | множественные catch
termin-display/bindings/render/tc_render_surface_bindings.cpp | cpp | множественные catch
termin-display/bindings/viewport/viewport_module.cpp | cpp | catch std::exception
termin-app/cpp/termin/bindings/render/render_pipeline_bindings.cpp | cpp | catch std::exception
termin-app/cpp/termin/bindings/render/render_engine.cpp | cpp | catch std::exception
termin-app/cpp/termin/assets/handles_inline.hpp | cpp | catch nb::python_error
termin-app/cpp/termin/assets/voxel_grid_handle_inline.hpp | cpp | catch nb::python_error
termin-app/cpp/termin/inspect_bindings.cpp | cpp | catch nb::cast_error
termin-app/cpp/termin/tc_component_python_bindings.cpp | cpp | множественные catch
termin-app/cpp/termin/mesh_bindings.cpp | cpp | catch std::exception
termin-modules/src/module_descriptor_parser.cpp | cpp | catch std::exception

## Python - except с pass или без логирования
termin-app/termin/editor/editor_tree.py | python | множественные except, часть без лога
termin-app/termin/editor/editor_inspector.py | python | except без лога
termin-app/termin/editor/display_inspector.py | python | except без лога
termin-app/termin/editor/viewport_inspector.py | python | except без лога
termin-app/termin/editor/render_target_inspector.py | python | except с/без лога
termin-app/termin/editor/widgets/field_widgets.py | python | except без лога
termin-app/termin/visualization/render/shader_skinning.py | python | except без лога
termin-app/termin/editor_core/framegraph_debugger_model.py | python | except AttributeError без лога
termin-gui/python/tcgui/widgets/ui.py | python | except без лога
termin-gui/python/tcgui/widgets/file_dialog_overlay.py | python | except без лога
termin-gui/python/tcgui/widgets/viewport3d.py | python | except с логом
termin-display/python/termin/display/__init__.py | python | except ImportError pass
termin-display/python/termin/display/window_manager.py | python | except ImportError pass
termin-nodegraph/python/tcnodegraph/__init__.py | python | except ModuleNotFoundError pass

## Python - except с логированием (проверить адекватность)
termin-app/termin/log.py | python | сам логгер
termin-app/termin/cache/scene_cache.py | python | except + лог
termin-app/termin/editor/modules_panel.py | python | except + лог
termin-app/termin/editor/pipeline_inspector.py | python | except + лог
termin-app/termin/editor/material_inspector.py | python | except + лог
termin-app/termin/editor/texture_inspector.py | python | except + лог
termin-app/termin/editor/scene_manager_viewer.py | python | except + лог
termin-app/termin/editor/editor_window.py | python | except + лог
termin-app/termin/editor/framegraph_debugger.py | python | except + лог
termin-app/termin/editor/prefab_edit_controller.py | python | except + лог
termin-app/termin/editor_core/entity_operations.py | python | except + лог
termin-app/termin/editor_core/project_operations.py | python | except + лог
termin-app/termin/editor_core/pipeline_operations.py | python | except + лог
termin-app/termin/visualization/core/plugin_loader.py | python | except + лог
termin-app/termin/voxels/display_component.py | python | except + лог
termin-app/termin/voxels/voxelizer_component.py | python | except + лог
termin-navmesh/python/termin/navmesh/builder_component.py | python | except + лог
termin-navmesh/python/termin/navmesh/pathfinding_world_component.py | python | except + лог
termin-inspect/python/termin/inspect/inspect_field.py | python | except + лог
termin-graphics/python/tgfx/font.py | python | except + лог
