# Файлы для аудита обработки ошибок
# Сгенерировано 8 мая 2026
# 147 Python + 60 C++ = 207 файлов

# === Python (147 файлов) ===
[x] termin-app/termin/algeom.py | py | исправлен (добавлен debug лог)
[x] termin-app/termin/assets/asset_registry.py | py | чисто (нет try/except)
[x] termin-app/termin/assets/data_asset.py | py | чисто
[x] termin-app/termin/assets/glsl_asset.py | py | исправлен (добавлен debug лог)
[x] termin-app/termin/assets/material_asset.py | py | исправлен (добавлен debug лог)
[x] termin-app/termin/assets/mesh_asset.py | py | исправлен (добавлен debug лог)
[x] termin-app/termin/assets/pipeline_asset.py | py | чисто
[x] termin-app/termin/assets/prefab_asset.py | py | чисто
[x] termin-app/termin/assets/resources/_assets.py | py | исправлен (добавлен debug лог)
[x] termin-app/termin/assets/resources/_components.py | py | чисто
[x] termin-app/termin/assets/scene_pipeline_asset.py | py | чисто
[x] termin-app/termin/assets/shader_asset.py | py | чисто
[x] termin-app/termin/audio/audio_engine.py | py | чисто
[x] termin-app/termin/cache/scene_cache.py | py | чисто
[x] termin-app/termin/editor/color_dialog.py | py | исправлен (добавлены warning логи)
[x] termin-app/termin/editor_core/entity_operations.py | py | чисто
[x] termin-app/termin/editor_core/framegraph_debugger_model.py | py | исправлен (4 debug лога)
[x] termin-app/termin/editor_core/pipeline_operations.py | py | чисто
[x] termin-app/termin/editor_core/project_operations.py | py | чисто
[x] termin-app/termin/editor/core_registry_viewer.py | py | чисто (нет try/except)
[x] termin-app/termin/editor/display_inspector.py | py | исправлен (2 debug лога)
[x] termin-app/termin/editor/drag_drop.py | py | чисто
[x] termin-app/termin/editor/editor_camera.py | py | чисто
[x] termin-app/termin/editor/editor_inspector.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor/editor_state_io.py | py | чисто
[x] termin-app/termin/editor/editor_tree.py | py | исправлен (6 debug логов)
[x] termin-app/termin/editor/editor_window.py | py | исправлен (2 debug лога)
[x] termin-app/termin/editor/entity_inspector.py | py | чисто (нет try/except)
[x] termin-app/termin/editor/external_editor.py | py | чисто
[x] termin-app/termin/editor/file_processors/component_processor.py | py | чисто
[x] termin-app/termin/editor/file_processors/material_processor.py | py | исправлен (debug лог)
[x] termin-app/termin/editor/file_processors/prefab_processor.py | py | исправлен (debug лог)
[x] termin-app/termin/editor/file_processors/scene_pipeline_preloader.py | py | исправлен (error лог + импорт)
[x] termin-app/termin/editor/framegraph_debugger.py | py | чисто
[x] termin-app/termin/editor/gizmo/base.py | py | чисто (нет try/except)
[x] termin-app/termin/editor/glb_inspector.py | py | исправлен (warning лог)
